[03:43:27] ============================================================
[03:43:27] Grid.gg 完整数据下载器 v2
[03:43:27] 使用二分法版本检测 + 动态查询构建
[03:43:27] 输出目录: /www/wwwroot/AI-Drafting-Assistant/data/grid_v2
[03:43:27] ============================================================
[03:43:27] 共 1632 场比赛，使用 10 个并行线程
[03:44:28] [139/1632] 2820999: OK v3.42 (2g)
[03:44:28] [140/1632] 2825365: OK v3.42 (2g)
[03:44:30] [141/1632] 2820996: OK v3.42 (2g)
[03:44:30] [142/1632] 2820997: OK v3.42 (2g)
[03:44:30] [143/1632] 2825364: OK v3.42 (3g)
[03:44:30] [144/1632] 2825363: OK v3.42 (3g)
[03:44:31] [145/1632] 2820995: OK v3.42 (3g)
[03:44:32] [146/1632] 2825362: OK v3.42 (3g)
[03:44:32] [147/1632] 2820994: OK v3.42 (2g)
[03:44:32] [148/1632] 2825360: OK v3.42 (3g)
[03:44:32] [149/1632] 2825358: OK v3.42 (2g)
[03:44:32] [150/1632] 2825359: OK v3.42 (2g)
[03:44:32] --- 150/1632 (139.3/min) ---
[03:44:34] [151/1632] 2825357: OK v3.42 (2g)
[03:44:34] [152/1632] 2825039: OK v3.42 (3g)
[03:44:34] [153/1632] 2825098: OK v3.42 (2g)
[03:44:34] [154/1632] 2825038: OK v3.42 (2g)
[03:44:35] [155/1632] 2833774: OK v3.42 (3g)
[03:44:36] [156/1632] 2825097: OK v3.42 (2g)
[03:44:36] [157/1632] 2833773: OK v3.42 (2g)
[03:44:36] [158/1632] 2820993: OK v3.42 (2g)
[03:44:36] [159/1632] 2825355: OK v3.42 (3g)
[03:44:36] [160/1632] 2825356: OK v3.42 (3g)
[03:44:38] [161/1632] 2820992: OK v3.42 (2g)
[03:44:38] [162/1632] 2825037: OK v3.42 (2g)
[03:44:39] [163/1632] 2825036: OK v3.42 (3g)
[03:44:39] [164/1632] 2833772: OK v3.42 (3g)
[03:44:39] [165/1632] 2825096: OK v3.42 (2g)
[03:44:40] [166/1632] 2825095: OK v3.42 (3g)
[03:44:40] [167/1632] 2825354: OK v3.42 (2g)
[03:44:40] [168/1632] 2825353: OK v3.42 (2g)
[03:44:40] [169/1632] 2833771: OK v3.42 (3g)
[03:44:41] [170/1632] 2820991: OK v3.42 (2g)
[03:44:42] [171/1632] 2820990: OK v3.42 (3g)
[03:44:42] [172/1632] 2825352: OK v3.42 (3g)
[03:44:43] [173/1632] 2825351: OK v3.42 (3g)
[03:44:43] [174/1632] 2820989: OK v3.42 (2g)
[03:44:44] [175/1632] 2825350: OK v3.42 (3g)
[03:44:44] [176/1632] 2820988: OK v3.42 (2g)
[03:44:45] [177/1632] 2825348: OK v3.42 (2g)
[03:44:45] [178/1632] 2820986: OK v3.42 (3g)
[03:44:45] [179/1632] 2825349: OK v3.42 (3g)
[03:44:45] [180/1632] 2820987: OK v3.42 (3g)
[03:44:46] [181/1632] 2820985: OK v3.42 (2g)
[03:44:46] [182/1632] 2825346: OK v3.42 (2g)
[03:44:47] [183/1632] 2820984: OK v3.42 (2g)
[03:44:47] [184/1632] 2825345: OK v3.42 (3g)
[03:44:48] [185/1632] 2825344: OK v3.42 (3g)
[03:44:48] [186/1632] 2825343: OK v3.42 (3g)
[03:44:48] [187/1632] 2833768: OK v3.42 (2g)
[03:44:49] [188/1632] 2833767: OK v3.42 (2g)
[03:44:49] [189/1632] 2825035: OK v3.42 (3g)
[03:44:49] [190/1632] 2825341: OK v3.42 (3g)
[03:44:51] [191/1632] 2825089: OK v3.42 (3g)
[03:44:51] [192/1632] 2825034: OK v3.42 (2g)
[03:44:51] [193/1632] 2833766: OK v3.42 (3g)
[03:44:51] [194/1632] 2825088: OK v3.42 (2g)
[03:44:52] [195/1632] 2833765: OK v3.42 (2g)
[03:44:52] [196/1632] 2825340: OK v3.42 (2g)
[03:44:53] [197/1632] 2820983: OK v3.42 (2g)
[03:44:53] [198/1632] 2825339: OK v3.42 (2g)
[03:44:53] [199/1632] 2820982: OK v3.42 (2g)
[03:44:53] [200/1632] 2825033: OK v3.42 (3g)
[03:44:53] --- 200/1632 (139.6/min) ---
[03:44:55] [201/1632] 2825032: OK v3.42 (2g)
[03:44:55] [202/1632] 2825087: OK v3.42 (3g)
[03:44:55] [203/1632] 2825086: OK v3.42 (3g)
[03:44:56] [204/1632] 2833764: OK v3.42 (3g)
[03:44:56] [205/1632] 2833763: OK v3.42 (2g)
[03:44:56] [206/1632] 2825338: OK v3.42 (2g)
[03:44:57] [207/1632] 2825336: OK v3.42 (2g)
[03:44:57] [208/1632] 2825337: OK v3.42 (3g)
[03:44:57] [209/1632] 2820981: OK v3.42 (3g)
[03:44:58] [210/1632] 2820980: OK v3.42 (2g)
[03:44:59] [211/1632] 2825335: OK v3.42 (2g)
[03:44:59] [212/1632] 2820979: OK v3.42 (2g)
[03:44:59] [213/1632] 2820978: OK v3.42 (2g)
[03:44:59] [214/1632] 2825334: OK v3.42 (2g)
[03:45:00] [215/1632] 2825333: OK v3.42 (2g)
[03:45:01] [216/1632] 2835374: OK v3.42 (3g)
[03:45:02] [217/1632] 2820976: OK v3.42 (2g)
[03:45:02] [218/1632] 2820975: OK v3.42 (2g)
[03:45:02] [219/1632] 2825329: OK v3.42 (3g)
[03:45:02] [220/1632] 2820977: OK v3.42 (2g)
[03:45:04] [221/1632] 2820974: OK v3.42 (3g)
[03:45:04] [222/1632] 2825326: OK v3.42 (2g)
[03:45:04] [223/1632] 2825327: OK v3.42 (3g)
[03:45:04] [224/1632] 2825328: OK v3.42 (2g)
[03:45:04] [225/1632] 2825325: OK v3.42 (2g)
[03:45:05] [226/1632] 2825030: OK v3.42 (2g)
[03:45:06] [227/1632] 2825079: OK v3.42 (3g)
[03:45:06] [228/1632] 2825029: OK v3.42 (2g)
[03:45:06] [229/1632] 2825078: OK v3.42 (3g)
[03:45:07] [230/1632] 2825324: OK v3.42 (3g)
[03:45:08] [231/1632] 2820973: OK v3.42 (2g)
[03:45:08] [232/1632] 2825027: OK v3.42 (2g)
[03:45:08] [233/1632] 2825323: OK v3.42 (2g)
[03:45:08] [234/1632] 2820972: OK v3.42 (3g)
[03:45:08] [235/1632] 2825077: OK v3.42 (2g)
[03:45:09] [236/1632] 2825026: OK v3.42 (2g)
