gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
0c5ebfe7-2e9e-4b37-93dd-0e13080c3753,red,Kai'Sa,bot,bot,bot,false,1,1,145,0,-0.049,0.0532,Rakan,false,135,135,false,"opp_meta_sum:0.021,-0.47,-0.049 | our_synergy:0.667,1.11,-0.024 | our_meta_sum:0.022,-0.93,0.020","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.021,-0.47,-0.049 | our_meta_sum:0.026,-0.72,0.015",1,1,0,0.5806451612903226,0.5284446342432602,0.004621776771091554,1,0.6052631578947368,0.6879671720659711,0.006016960886888984,1
b2232a56-27bd-4e88-9b49-96a70a6e8c48,red,Kai'Sa,bot,bot,bot,false,1,1,145,0,-0.098,-0.0047,Akali,false,142,142,false,"opp_meta_sum:0.016,-0.78,-0.080 | our_synergy:0.640,0.91,-0.020 | our_meta_sum:0.025,-0.79,0.017","opp_meta_sum:0.016,-0.78,-0.080 | our_synergy:0.250,-1.96,0.042 | our_meta_sum:0.011,-1.62,0.034",1,1,0,0.25,-1.6141080720307408,-0.014116989197980859,1,0.5,0.0058708034447231975,0.000051346046927549086,1
49d3c0d6-41b7-41b1-b9bb-a35a7654d7f4,blue,Azir,mid,mid,mid,false,1,1,145,0,0.0934,0.2038,Gragas,false,124,124,false,"opp_meta_sum:0.045,0.95,0.097 | opp_synergy:0.575,0.72,0.008 | our_meta_sum:0.043,0.37,-0.008","opp_meta_sum:0.045,0.95,0.097 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.023,-0.89,0.019",1,0.5,0.5,0.47619047619047616,-0.14841289898151164,-0.0012980192144923007,2,0.6,0.6538623536349086,0.005718680144890911,2
29ca30f1-e9ae-42d3-8ed7-699258f8e626,blue,Taliyah,jungle,jungle,mid,false,1,1,115,0,-0.038,0.0787,Lillia,false,106,106,false,"opp_meta_sum:0.021,-0.45,-0.046 | opp_synergy:0.600,0.98,0.011 | our_synergy:0.556,0.29,-0.006","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.021,-0.45,-0.046 | our_meta_sum:0.012,-1.56,0.033",1,1,0,0.5714285714285714,0.46872191072342695,0.004099441831187092,1,0.5,0.0058708034447231975,0.000051346046927549086,0
90c1d4f0-8d5f-48f7-a584-7e823d4ee8de,blue,Annie,mid,mid,mid,false,1,1,148,0,0.0396,0.1185,Kennen,false,127,127,false,"our_synergy:0.742,1.66,-0.036 | our_meta_sum:0.016,-1.32,0.028 | opp_meta_sum:0.033,0.22,0.023","our_synergy:0.333,-1.34,0.029 | our_meta_sum:0.015,-1.37,0.029 | counter_for:1.000,3.25,0.028",1,1,0,0.7625,1.70684862269396,0.014928098054081376,2,1,3.2458285543956515,0.02838801653674437,1
a8a973d6-a106-4394-9d54-40a3b1abde79,blue,Rell,jungle,jungle,jungle,false,1,1,104,0,0.0589,0.2014,Trundle,false,103,103,false,"opp_meta_sum:0.039,0.61,0.062 | counter_against:0.333,-1.53,0.030 | our_meta_sum:0.057,1.18,-0.025","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.039,0.61,0.062 | counter_against:0.333,-1.53,0.030",1,1,0,0.5833333333333333,0.5458637619365441,0.004774124461897015,2,0.5,0.0058708034447231975,0.000051346046927549086,0
dae3c975-749b-4443-bf7e-6d94db018fad,red,Yone,mid,mid,mid,false,1,1,144,0,-0.0129,0.0885,Diana,false,117,117,false,"opp_meta_sum:0.027,-0.11,-0.012 | opp_synergy:0.500,-0.07,-0.001 | our_synergy:0.519,0.02,-0.000","our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.022,-0.93,0.019 | opp_meta_sum:0.027,-0.11,-0.012",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,1,0.5,0.0058708034447231975,0.000051346046927549086,0
ec8dd7e3-e741-4ff4-ad53-b07736727dc8,red,Maokai,jungle,jungle,jungle,false,1,1,138,0,-0.0227,0.0747,Poppy,false,122,122,false,"opp_meta_sum:0.022,-0.38,-0.039 | our_meta_sum:0.026,-0.69,0.014 | our_synergy:0.500,-0.12,0.003","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.022,-0.38,-0.039 | our_meta_sum:0.016,-1.34,0.028",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,1,0.5833333333333334,0.5458637619365447,0.00477412446189702,1
7a1a2361-1f3a-47be-a0b6-4d346c03085f,blue,Lillia,jungle,jungle,jungle,false,1,1,144,0,0.1085,0.2097,Mordekaiser,false,120,120,false,"opp_meta_sum:0.044,0.86,0.088 | our_meta_sum:0.025,-0.74,0.016 | counter_against:0.464,-0.33,0.006","opp_meta_sum:0.044,0.86,0.088 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.015,-1.36,0.029",1,1,0,0.5735294117647058,0.48233517858456526,0.004218503471900608,2,0.5833333333333333,0.5458637619365441,0.004774124461897015,2
fc05be98-5abe-4c05-9147-372425f50acb,red,Lee Sin,jungle,jungle,jungle,false,1,1,101,0,-0.0342,0.0411,Gwen,false,63,63,false,"our_synergy:0.286,-1.69,0.036 | our_meta_sum:0.060,1.37,-0.029 | opp_meta_sum:0.024,-0.26,-0.027","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.024,-0.26,-0.027 | our_meta_sum:0.047,0.61,-0.013",1,1,0,0.25,-1.6141080720307408,-0.014116989197980859,1,0.5,0.0058708034447231975,0.000051346046927549086,1
ddc28900-0809-4a45-a367-55ee83adf13e,red,Sejuani,jungle,jungle,jungle,false,1,1,146,0,0.0003,0.0765,Zac,false,24,24,false,"opp_meta_sum:0.023,-0.32,-0.033 | counter_for:0.818,2.07,0.018 | our_synergy:0.404,-0.83,0.018","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.023,-0.32,-0.033 | our_meta_sum:0.015,-1.36,0.029",1,0.5,0.5,0.8181818181818182,2.067662099504405,0.018083772722265527,1,0.5,0.0058708034447231975,0.000051346046927549086,0
f63823d3-a8b3-42c9-8738-8fc0fdf9d186,red,Corki,mid,mid,mid,false,1,1,82,0,-0.0366,0.0236,Rumble,false,40,40,false,"our_meta_sum:0.065,1.68,-0.035 | opp_meta_sum:0.024,-0.29,-0.029 | our_synergy:0.333,-1.34,0.029","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.024,-0.29,-0.029 | our_meta_sum:0.059,1.32,-0.028",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
9d6d0ec9-7a99-4c5d-b9ab-02b692daa3c9,red,Taliyah,mid,mid,mid,false,1,1,150,0,-0.1405,-0.0134,Shyvana,false,147,147,false,"opp_meta_sum:0.012,-1.00,-0.103 | our_meta_sum:0.054,0.98,-0.021 | counter_for:0.250,-1.61,-0.014","opp_meta_sum:0.012,-1.00,-0.103 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.031,-0.41,0.009",1,1,0,0.25,-1.6141080720307408,-0.014116989197980859,1,0.5,0.0058708034447231975,0.000051346046927549086,0
94b08859-de5f-488e-9d75-140525868f95,red,Xin Zhao,jungle,jungle,jungle,false,1,1,150,0,-0.0569,0.062,Seraphine,false,140,140,false,"opp_meta_sum:0.023,-0.34,-0.035 | our_meta_sum:0.046,0.53,-0.011 | our_synergy:0.574,0.42,-0.009","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.023,-0.34,-0.035 | our_meta_sum:0.025,-0.76,0.016",1,1,0,0.4782608695652174,-0.13499692485749096,-0.001180683104803616,1,0.5,0.0058708034447231975,0.000051346046927549086,0
dcbc8a1c-f3b6-4703-9b3b-d936b04b3f5b,blue,Leona,support,support,support,false,1,1,136,0,-0.0697,0.0338,Sivir,false,114,114,false,"opp_meta_sum:0.017,-0.69,-0.071 | our_meta_sum:0.067,1.82,-0.038 | counter_against:0.333,-1.53,0.030","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.017,-0.69,-0.071 | counter_against:0.333,-1.53,0.030",1,0.5,0.5,0.39285714285714285,-0.6884058574733328,-0.006020797629461769,2,0.5,0.0058708034447231975,0.000051346046927549086,0
7270045f-9f3a-4aa5-91a7-064f318fecbf,blue,Taliyah,jungle,jungle,mid,false,1,1,114,0,-0.0804,0.0127,Kai'Sa,false,99,99,false,"opp_meta_sum:0.015,-0.83,-0.086 | counter_for:0.750,1.63,0.014 | our_meta_sum:0.046,0.51,-0.011","opp_meta_sum:0.015,-0.83,-0.086 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.024,-0.84,0.018",1,1,0,0.75,1.625849678920187,0.014219681291835956,1,0.5,0.0058708034447231975,0.000051346046927549086,0
4d143d99-54fc-4b35-8285-9e7d0449e661,red,Ahri,mid,mid,mid,false,1,1,145,0,-0.1361,-0.0558,Nasus,false,91,91,false,"opp_meta_sum:0.003,-1.52,-0.156 | counter_for:0.833,2.17,0.019 | our_meta_sum:0.031,-0.40,0.008","opp_meta_sum:0.003,-1.52,-0.156 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.022,-0.95,0.020",1,1,0,0.8333333333333334,2.1658426374120086,0.01894245970680543,1,0.5,0.0058708034447231975,0.000051346046927549086,0
49d9df43-8257-42a5-91c9-9f1034c09a76,red,Ryze,mid,mid,mid,false,1,1,149,0,-0.1436,-0.0402,Diana,false,124,124,false,"opp_meta_sum:0.005,-1.41,-0.145 | our_synergy:0.769,1.86,-0.040 | counter_for:1.000,3.25,0.028","opp_meta_sum:0.005,-1.41,-0.145 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.019,-1.15,0.024",1,1,0,1,3.2458285543956515,0.02838801653674437,1,0.5,0.0058708034447231975,0.000051346046927549086,0
ec973f41-b96a-49f6-90a1-f0a736d68e5c,blue,Ezreal,bot,bot,bot,false,1,1,130,0,-0.1093,0.0087,Shyvana,false,123,123,false,"opp_meta_sum:0.024,-0.29,-0.030 | our_meta_sum:0.060,1.38,-0.029 | opp_synergy:0.300,-2.18,-0.024","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.024,-0.29,-0.030 | opp_synergy:0.300,-2.18,-0.024",1,1,0,0.26666666666666666,-1.5061094803323765,-0.013172433514986965,2,0.5,0.0058708034447231975,0.000051346046927549086,0
9ddd68c5-1987-4b4a-a720-c6093b5829c2,blue,Ashe,bot,bot,support,false,1,1,115,0,-0.1365,0.0064,Lillia,false,110,110,false,"opp_meta_sum:0.011,-1.06,-0.109 | our_synergy:0.833,2.33,-0.050 | our_meta_sum:0.022,-0.94,0.020","opp_meta_sum:0.011,-1.06,-0.109 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.013,-1.48,0.031",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
