gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
8ce3959e-bb48-46cd-93f8-37a8e064780d,blue,K'Sante,top,top,top,false,1,1,110,0,-0.2102,0.0344,Sejuani,false,96,96,false,"opp_meta_sum:0.034,-1.21,-0.084 | counter_against:0.750,2.00,-0.061 | our_synergy:0.383,-1.27,-0.058","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.034,-1.21,-0.084 | counter_against:0.750,2.00,-0.061",1,0.5,0.5,0.4805194805194805,-0.10035555376563447,0.00575830131951834,3,0,-3.502431978929929,0.2009660445190204,1
d4fe99da-bb25-4bd7-b574-a6d9a6813919,red,Rell,support,support,support,false,1,1,144,0,-0.0225,0.1076,Vladimir,false,41,41,false,"opp_meta_sum:0.055,-0.34,-0.023 | opp_synergy:0.579,0.58,-0.022 | counter_for:0.452,-0.30,0.017","counter_for:0.194,-2.13,0.122 | our_meta_sum:0.040,-1.28,0.028 | opp_meta_sum:0.055,-0.34,-0.023",1,0.5,0.5,0.4521590486807878,-0.3011473228352003,0.017279532236960958,3,0.19444444444444442,-2.1257659179963295,0.1219743226087114,3
23db366d-573d-4f3b-8fe2-3082b36f2ce1,red,Rell,support,support,support,false,1,1,145,0,-0.1386,0.0424,Zac,false,127,127,false,"opp_meta_sum:0.029,-1.40,-0.098 | opp_synergy:0.576,0.55,-0.021 | counter_for:0.532,0.26,-0.015","counter_for:0.200,-2.09,0.120 | opp_meta_sum:0.029,-1.40,-0.098 | our_meta_sum:0.038,-1.36,0.030",1,0.5,0.5,0.5317907759768224,0.2626450583520771,-0.01507031080318383,3,0.2,-2.0864326019696553,0.11971741626841685,1
3f199c9e-ed1c-4f6d-ab7c-7e8005fa7901,blue,Miss Fortune,bot,bot,bot,false,1,1,140,0,0.0987,0.2616,Pyke,false,25,25,false,"opp_meta_sum:0.084,0.83,0.058 | counter_for:0.438,-0.40,0.023 | our_synergy:0.553,0.40,0.019","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.084,0.83,0.058 | our_meta_sum:0.046,-1.03,0.023",1,1,0,0.4377931096681097,-0.40285812629220796,0.0231155964285206,4,0,-3.502431978929929,0.2009660445190204,1
276de570-8781-4268-a15e-ce9d7449cd2a,blue,Amumu,jungle,jungle,jungle,false,1,1,128,0,0.1275,0.3292,Graves,false,48,56,true,"opp_meta_sum:0.116,2.15,0.150 | our_synergy:0.433,-0.77,-0.036 | opp_synergy:0.471,-0.40,0.015","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.116,2.15,0.150 | our_synergy:0.433,-0.77,-0.036",1,1,0,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,2
698e3736-79a6-499b-888b-51915e3c3f27,blue,Kai'Sa,bot,bot,bot,false,1,1,128,0,0.013,0.2192,Aurelion Sol,false,16,16,false,"counter_for:0.418,-0.54,0.031 | counter_against:0.584,0.69,-0.021 | our_meta_sum:0.089,0.69,-0.015","counter_for:0.000,-3.50,0.201 | our_synergy:0.583,0.70,0.032 | counter_against:0.584,0.69,-0.021",1,0.5,0.5,0.4182692307692308,-0.5410871280755098,0.03104703832184468,2,0,-3.502431978929929,0.2009660445190204,1
49c3e8a7-5034-4555-af9b-ce12a7878b33,blue,Jhin,bot,bot,bot,false,1,1,137,0,0.0654,0.2272,Shyvana,false,10,10,false,"counter_for:0.381,-0.80,0.046 | counter_against:0.326,-1.35,0.041 | opp_meta_sum:0.051,-0.52,-0.036","counter_for:0.000,-3.50,0.201 | counter_against:0.326,-1.35,0.041 | opp_meta_sum:0.051,-0.52,-0.036",1,0.5,0.5,0.3814814814814815,-0.8015442784316288,0.04599180915212843,3,0,-3.502431978929929,0.2009660445190204,1
ab8beb67-8f10-4e9a-a981-5de92d4d1121,red,Milio,support,support,support,false,1,1,103,0,0.1302,0.2476,Ashe,false,8,8,false,"counter_for:0.250,-1.73,0.099 | counter_against:0.300,-1.55,0.047 | opp_meta_sum:0.061,-0.09,-0.006","counter_for:0.000,-3.50,0.201 | counter_against:0.300,-1.55,0.047 | our_synergy:0.532,0.21,0.009",1,1,0,0.25,-1.7324327577295866,0.09940525920576596,1,0,-3.502431978929929,0.2009660445190204,1
d81f04e3-c270-49f0-96f6-e42c3c8596d3,red,Jhin,bot,bot,bot,false,1,1,146,0,-0.0909,0.0492,Aphelios,false,24,24,false,"opp_meta_sum:0.017,-1.91,-0.133 | counter_for:0.364,-0.93,0.053 | our_synergy:0.460,-0.51,-0.023","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.017,-1.91,-0.133 | our_synergy:0.423,-0.87,-0.040",1,1,0,0.36363636363636365,-0.9278876571839764,0.05324126588155938,1,0,-3.502431978929929,0.2009660445190204,1
7b789cf1-5e1b-43fc-93c7-e2761878a6da,red,Lillia,jungle,jungle,jungle,false,1,1,78,0,0.0118,0.0761,Bard,false,40,43,true,"our_synergy:0.743,2.28,0.105 | opp_synergy:0.688,1.56,-0.059 | our_meta_sum:0.101,1.18,-0.026","our_synergy:0.743,2.28,0.105 | counter_for:0.333,-1.14,0.066 | opp_synergy:0.688,1.56,-0.059",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0.3333333333333333,-1.1424330173294726,0.0655516641013478,1
82fa5082-670e-4482-8299-5b5c99723844,blue,Lucian,bot,bot,bot,false,1,1,145,0,0.0692,0.331,Zed,false,122,122,false,"opp_meta_sum:0.086,0.90,0.062 | counter_for:0.554,0.42,-0.024 | our_meta_sum:0.048,-0.95,0.021","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.086,0.90,0.062 | our_meta_sum:0.034,-1.51,0.033",1,0.5,0.5,0.5536858974358975,0.41766245007467584,-0.023965053722834823,4,0,-3.502431978929929,0.2009660445190204,1
dfa575df-5e5c-4f56-b69f-91f273b6777b,red,Neeko,mid,mid,mid,false,1,1,42,0,0.3405,0.3813,Varus,false,37,37,false,"opp_meta_sum:0.130,2.70,0.188 | opp_synergy:0.000,-4.67,0.177 | our_meta_sum:0.090,0.74,-0.016","opp_meta_sum:0.130,2.70,0.188 | opp_synergy:0.000,-4.67,0.177 | our_synergy:0.600,0.87,0.040",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0.5,0.03756646347075591,-0.0021555261074885034,0
852ad40e-6781-4907-9442-1ba8ceff8081,blue,Miss Fortune,bot,bot,bot,false,1,1,117,0,-0.0347,0.1481,Aphelios,false,15,15,false,"our_synergy:0.436,-0.74,-0.034 | counter_against:0.563,0.52,-0.016 | our_meta_sum:0.060,-0.46,0.010","counter_for:0.000,-3.50,0.201 | our_synergy:0.403,-1.07,-0.049 | counter_against:0.563,0.52,-0.016",1,1,0,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,1
c51059ca-4c2d-42ec-a4bf-0c1637f6b7c2,blue,Xayah,bot,bot,bot,false,1,1,141,0,-0.0334,0.2105,Senna,false,117,117,false,"counter_for:0.620,0.88,-0.051 | opp_synergy:0.409,-0.97,0.037 | opp_meta_sum:0.054,-0.41,-0.028","counter_for:0.000,-3.50,0.201 | opp_synergy:0.409,-0.97,0.037 | opp_meta_sum:0.054,-0.41,-0.028",1,1,0,0.6196895424836601,0.8849680513983711,-0.050778581821187135,3,0,-3.502431978929929,0.2009660445190204,1
0059305c-15c2-40c1-99e3-8e1da9264a62,red,Alistar,support,support,support,false,1,1,141,0,-0.0155,0.1148,Draven,false,30,30,false,"opp_meta_sum:0.040,-0.96,-0.067 | our_synergy:0.555,0.43,0.020 | counter_against:0.438,-0.46,0.014","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.040,-0.96,-0.067 | our_synergy:0.376,-1.33,-0.061",1,1,0,0.48016198016198014,-0.10288665518305248,0.005903533387748368,3,0,-3.502431978929929,0.2009660445190204,1
f85163ed-c80a-4d99-8614-75c710792de9,red,Xin Zhao,jungle,jungle,jungle,false,1,1,44,0,-0.0931,-0.0931,Xin Zhao,true,1,1,false,"our_meta_sum:0.200,5.20,-0.114 | our_synergy:0.694,1.80,0.083 | opp_meta_sum:0.041,-0.92,-0.064","our_meta_sum:0.200,5.20,-0.114 | our_synergy:0.694,1.80,0.083 | opp_meta_sum:0.041,-0.92,-0.064",1,1,0,0.5,0.03756646347075591,-0.0021555261074885034,0,0.5,0.03756646347075591,-0.0021555261074885034,0
914eb9f0-5e19-4915-b35b-1eb79df83cd5,blue,Galio,mid,mid,mid,false,1,1,145,0,-0.0599,0.1629,Zed,false,93,93,false,"opp_meta_sum:0.045,-0.75,-0.052 | opp_synergy:0.580,0.59,-0.022 | our_synergy:0.560,0.48,0.022","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.045,-0.75,-0.052 | our_synergy:0.574,0.62,0.028",1,0.5,0.5,0.5166666666666667,0.1555664115507791,-0.008926245128372154,3,0,-3.502431978929929,0.2009660445190204,1
727a3888-a38a-4078-bf33-ba79e095fd3f,blue,Nautilus,support,support,support,false,1,1,140,0,0.1544,0.3877,Bel'Veth,false,116,116,false,"opp_meta_sum:0.103,1.58,0.110 | counter_for:0.432,-0.44,0.025 | counter_against:0.421,-0.60,0.018","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.103,1.58,0.110 | our_meta_sum:0.029,-1.74,0.038",1,0.5,0.5,0.43231523378582204,-0.4416414704741331,0.025340945934335283,4,0,-3.502431978929929,0.2009660445190204,1
d75d1c40-70f7-4795-af7f-bcf772a09eb3,red,Zeri,bot,bot,bot,false,1,1,141,0,-0.0561,0.1228,Jinx,false,111,111,false,"opp_meta_sum:0.027,-1.51,-0.105 | counter_for:0.385,-0.78,0.045 | our_synergy:0.432,-0.78,-0.036","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.027,-1.51,-0.105 | our_meta_sum:0.029,-1.72,0.038",1,1,0,0.38461538461538464,-0.7793562540063251,0.04471868249862893,1,0,-3.502431978929929,0.2009660445190204,1
e3674422-12dd-4947-b755-aa3ca6f6e3ff,red,Aphelios,bot,bot,bot,false,1,1,46,0,0.2443,0.2738,Nocturne,false,41,42,true,"opp_synergy:0.000,-4.67,0.177 | opp_meta_sum:0.087,0.97,0.068 | our_meta_sum:0.063,-0.38,0.008","opp_synergy:0.000,-4.67,0.177 | opp_meta_sum:0.087,0.97,0.068 | our_meta_sum:0.029,-1.73,0.038",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0.5,0.03756646347075591,-0.0021555261074885034,0
de153a39-8b75-4e82-84f8-ecd654d14036,blue,Jhin,bot,bot,bot,false,1,1,119,0,0.0302,0.1666,Aphelios,false,10,10,false,"counter_for:0.400,-0.67,0.038 | counter_against:0.604,0.85,-0.026 | our_synergy:0.474,-0.36,-0.017","counter_for:0.083,-2.91,0.167 | counter_against:0.604,0.85,-0.026 | opp_synergy:0.475,-0.36,0.014",1,1,0,0.4,-0.670433225009381,0.03846878801781327,1,0.08333333333333333,-2.9124322385298154,0.16711244941460227,2
6a9cbf00-98f8-4d43-bf1d-e6d904e61de9,blue,Viktor,mid,mid,mid,false,1,1,131,0,0.0987,0.2331,Yasuo,false,50,53,true,"our_synergy:0.618,1.05,0.048 | opp_meta_sum:0.079,0.62,0.043 | opp_synergy:0.455,-0.55,0.021","counter_for:0.167,-2.32,0.133 | our_synergy:0.618,1.05,0.048 | opp_meta_sum:0.079,0.62,0.043",1,1,0,0.5,0.03756646347075591,-0.0021555261074885034,0,0.16666666666666666,-2.3224324981297007,0.13325885431018408,1
f7af7f8d-f207-49f4-9d72-84da299d63e5,red,Rek'Sai,jungle,jungle,top,false,1,1,114,0,-0.0447,0.1266,Xayah,false,60,60,false,"opp_meta_sum:0.048,-0.63,-0.044 | our_synergy:0.595,0.82,0.038 | our_meta_sum:0.096,0.99,-0.022","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.048,-0.63,-0.044 | our_meta_sum:0.100,1.16,-0.025",1,1,0,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,1
f8540fb2-129d-49af-9ff4-cafeaa220f4a,red,Kalista,bot,bot,bot,false,1,1,117,0,-0.2014,0.1863,Wukong,false,116,116,false,"counter_for:1.000,3.58,-0.205 | counter_against:0.611,0.90,-0.027 | opp_meta_sum:0.073,0.38,0.026","counter_for:0.000,-3.50,0.201 | our_synergy:0.423,-0.87,-0.040 | counter_against:0.611,0.90,-0.027",1,0.5,0.5,1,3.5775649058714416,-0.20527709673399744,1,0,-3.502431978929929,0.2009660445190204,1
c2db8f15-0d83-48c4-9eb6-c52e27701f83,blue,Poppy,top,top,jungle,false,1,1,113,0,0.1216,0.3929,Pyke,false,98,98,false,"opp_meta_sum:0.089,1.04,0.072 | counter_against:0.333,-1.29,0.039 | our_meta_sum:0.035,-1.49,0.032","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.089,1.04,0.072 | our_meta_sum:0.025,-1.90,0.041",1,1,0,0.5343137254901961,0.28050753304727344,-0.016095241738719502,4,0,-3.502431978929929,0.2009660445190204,1
524249ee-1f04-43e5-9518-988677eb9c61,blue,Ashe,bot,bot,bot,false,1,1,139,0,-0.1236,0.1931,Shyvana,false,137,137,false,"counter_for:0.754,1.84,-0.105 | our_synergy:0.438,-0.73,-0.033 | opp_synergy:0.494,-0.19,0.007","counter_for:0.000,-3.50,0.201 | our_synergy:0.426,-0.84,-0.039 | our_meta_sum:0.052,-0.78,0.017",1,0.5,0.5,0.7541666666666667,1.837065671691104,-0.10540899117596386,4,0,-3.502431978929929,0.2009660445190204,1
