,games_played,win_rate,avg_dpm,avg_damage_pct,avg_forward_pct,avg_kda,avg_kp,avg_dpm_per_gold
Yone,1,0.0,7381.206581352833,26.668965305416766,17.137797074954296,2.5,58.82352941176471,15.804591627033057
Jhin,2,0.5,7802.057066554315,26.672218929413358,21.090344833639374,10.25,66.44385026737967,17.53570052747739
Maokai,3,0.3333333333333333,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105
Alistar,4,0.5,331.82911489037815,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966
Akali,3,0.3333333333333333,5556.84563504182,19.63738295065067,28.33777932342755,7.3500000000000005,64.91978609625669,13.180281885960477
Gwen,2,1.0,6776.222905824061,23.337675466264713,38.23717187873066,3.916666666666667,60.22727272727273,17.45833405455256
Ryze,4,0.75,6327.840369391377,22.15739765692383,33.3140493660677,6.2,70.20021645021644,14.828425701011758
Lulu,1,1.0,684.7074954296161,2.437771843925585,38.48619744058501,20.0,90.9090909090909,2.3453879391320682
Trundle,2,0.5,7047.28148161088,26.015079905817437,30.24973283581926,3.75,81.96969696969697,20.156080326164652
Yunara,4,0.25,7149.443840990203,27.04317643595536,24.449852537076925,3.3333333333333335,77.85984848484847,15.640286105607892
Rumble,2,0.0,4249.235114820126,17.016935184262735,21.724087404748587,1.1666666666666667,52.5,12.594300395743009
Poppy,2,0.0,3855.964985125846,15.594264965364957,17.68013240902669,0.7833333333333334,54.16666666666667,13.328159386613034
Annie,1,1.0,4453.939916734129,16.105918684293343,29.781670305593178,18.0,94.73684210526315,10.695692804349672
Rell,3,0.0,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122612
Leona,2,0.5,587.1011748656251,2.1678583099361663,31.256468610987344,8.916666666666666,81.11111111111111,2.3855253891885257
Senna,1,1.0,5461.688973552818,19.4141370039295,28.508405217462514,17.0,94.44444444444444,13.108533747090767
Gnar,1,1.0,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814815
Nocturne,1,1.0,10262.353317069046,32.84366319541922,25.459366841164837,18.0,81.81818181818183,23.3728296403923
Skarner,3,0.0,7296.751011563628,28.59968605140216,13.418013316543556,0.9555555555555556,57.93650793650793,24.583700401109496
Renekton,1,0.0,6247.548528372744,25.627162997612118,27.16222588573285,0.5,50.0,16.178919544027753
Orianna,3,0.0,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444443,61.96581196581196,13.694778238863229
Viego,1,0.0,8925.923111507944,36.02480106626184,12.8807643677797,1.4,87.5,25.707732992887106
Urgot,1,1.0,5718.320383492594,18.448011162536044,47.280955607481566,4.333333333333333,65.0,12.741022927689594
Cassiopeia,2,1.0,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237
Kled,1,1.0,6153.228101132635,20.941195403644148,57.47338318591135,7.0,43.75,15.470778970122751
Xayah,2,1.0,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857143,18.388848462762574
Zeri,1,0.0,7469.699677088869,26.498902636182,22.066725537796255,2.0,76.92307692307693,16.921243191284844
Rek'Sai,1,1.0,4682.847897965929,15.866641235056134,47.7094714469521,4.0,40.0,12.664677530410833
Yorick,2,0.5,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755
Volibear,1,1.0,8747.497887353937,28.350867098635874,44.467613191877575,8.0,53.333333333333336,23.003006189213085
Sett,1,1.0,5867.8884522878225,19.01797837538604,36.31801095213652,5.0,33.33333333333333,15.49911190053286
Caitlyn,1,1.0,7738.101375629591,25.079386873977015,49.33824304059643,9.0,60.0,15.651727421109902
Lee Sin,1,0.0,7740.086000955565,33.61071646032068,4.734841927658563,1.0,55.55555555555556,25.167173252279635
Ziggs,1,0.0,5979.524571206991,25.96561651970623,7.213832166573188,1.6,88.88888888888889,14.297102649006623
Braum,1,1.0,641.0948849512176,2.1543544906138927,48.52487357213255,10.5,91.30434782608695,2.2269392663860494
Blitzcrank,1,1.0,328.8174486722637,1.070596729326607,37.42964944105683,3.3333333333333335,71.42857142857143,1.3710202069985213
Viktor,1,0.0,6588.760301402204,21.78380102140511,22.499649330733913,2.25,64.28571428571429,17.372374244218662
Ornn,1,0.0,5021.1741195049335,16.601037662554887,15.878974186013892,2.0,71.42857142857143,15.690034719657236
Pyke,1,0.0,598.6278981435805,1.9791873467071643,34.68284525950314,11.0,78.57142857142857,2.0880679475550425
