ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,stage_early,stage_mid,stage_late,counter_label
1,0,1,1,0.7,4682.847897965929,15.866641235056134,47.7094714469521,4.0,40.0,12.664677530410833,0,1,0,1
1,0,1,1,0.7,7858.5662658574365,29.962621509110807,32.6879381225098,4.0,75.0,17.372048930280418,0,1,0,1
0,0,1,1,0.3,7469.699677088869,26.498902636182,22.066725537796252,2.0,76.92307692307693,16.921243191284844,1,0,0,0
0,0,1,1,0.3,8215.270270213228,30.98421134073635,18.258717719408487,2.9722222222222228,80.02136752136752,23.2580730130476,1,0,0,0
0,0,1,1,0.3,4806.951111051315,18.21078250406753,28.964550967701665,4.833333333333333,54.01109611635928,12.963315383494622,1,0,0,0
0,0,1,1,0.3,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444445,61.96581196581196,13.694778238863227,1,0,0,0
0,0,1,1,0.3,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122607,1,0,0,0
0,0,1,0,0.3,7469.699677088869,26.498902636182,22.066725537796252,2.0,76.92307692307693,16.921243191284844,1,0,0,0
0,0,1,0,0.3,8215.270270213228,30.98421134073635,18.258717719408487,2.9722222222222228,80.02136752136752,23.2580730130476,1,0,0,0
0,0,1,0,0.3,4806.951111051315,18.21078250406753,28.964550967701665,4.833333333333333,54.01109611635928,12.963315383494622,1,0,0,0
0,0,1,0,0.3,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444445,61.96581196581196,13.694778238863227,1,0,0,0
0,0,1,0,0.3,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122607,1,0,0,0
0,0,1,0,0.3,7469.699677088869,26.498902636182,22.066725537796252,2.0,76.92307692307693,16.921243191284844,1,0,0,0
0,0,1,0,0.3,8215.270270213228,30.98421134073635,18.258717719408487,2.9722222222222228,80.02136752136752,23.2580730130476,1,0,0,0
0,0,1,0,0.3,4806.951111051315,18.21078250406753,28.964550967701665,4.833333333333333,54.01109611635928,12.963315383494622,1,0,0,0
0,0,1,0,0.3,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444445,61.96581196581196,13.694778238863227,1,0,0,0
0,0,1,0,0.3,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122607,1,0,0,0
1,1,1,0,0.5,7469.699677088869,26.498902636182,22.066725537796252,2.0,76.92307692307693,16.921243191284844,0,1,0,0
1,1,1,0,0.5,8215.270270213228,30.98421134073635,18.258717719408487,2.9722222222222228,80.02136752136752,23.2580730130476,0,1,0,0
1,1,1,0,0.5,4806.951111051315,18.21078250406753,28.964550967701665,4.833333333333333,54.01109611635928,12.963315383494622,0,1,0,0
1,1,1,0,0.5,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444445,61.96581196581196,13.694778238863227,0,1,0,0
1,1,1,0,0.5,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122607,0,1,0,0
1,1,1,0,0.5,7469.699677088869,26.498902636182,22.066725537796252,2.0,76.92307692307693,16.921243191284844,0,1,0,0
1,1,1,0,0.5,8215.270270213228,30.98421134073635,18.258717719408487,2.9722222222222228,80.02136752136752,23.2580730130476,0,1,0,0
1,1,1,0,0.5,4806.951111051315,18.21078250406753,28.964550967701665,4.833333333333333,54.01109611635928,12.963315383494622,0,1,0,0
1,1,1,0,0.5,5229.669742015479,20.258322099971945,13.715026856939827,1.5444444444444445,61.96581196581196,13.694778238863227,0,1,0,0
1,1,1,0,0.5,409.684639992721,1.6721267188028996,23.744484850647453,1.75,71.96581196581197,1.8697329649122607,0,1,0,0
0,0,1,1,0.3,4249.235114820126,17.016935184262735,21.724087404748587,1.1666666666666667,52.5,12.594300395743009,1,0,0,0
0,0,1,1,0.3,5142.348708376346,20.527841249060256,28.562242255750466,1.6444444444444446,69.81481481481482,14.421707444913425,1,0,0,0
0,0,1,1,0.3,3855.964985125846,15.594264965364957,17.68013240902669,0.7833333333333334,54.16666666666667,13.328159386613034,1,0,0,0
0,0,1,1,0.3,8948.129344047089,32.58707659814953,27.604561943328523,10.25,87.31884057971014,22.235374016112832,1,0,0,0
0,0,1,1,0.3,6323.875559360632,24.359526829861696,13.321924701796322,2.6666666666666665,69.44444444444444,14.211407055755332,1,0,0,0
0,0,1,0,0.3,4249.235114820126,17.016935184262735,21.724087404748587,1.1666666666666667,52.5,12.594300395743009,1,0,0,0
0,0,1,0,0.3,5142.348708376346,20.527841249060256,28.562242255750466,1.6444444444444446,69.81481481481482,14.421707444913425,1,0,0,0
0,0,1,0,0.3,3855.964985125846,15.594264965364957,17.68013240902669,0.7833333333333334,54.16666666666667,13.328159386613034,1,0,0,0
0,0,1,0,0.3,8948.129344047089,32.58707659814953,27.604561943328523,10.25,87.31884057971014,22.235374016112832,1,0,0,0
0,0,1,0,0.3,6323.875559360632,24.359526829861696,13.321924701796322,2.6666666666666665,69.44444444444444,14.211407055755332,1,0,0,0
1,1,1,0,0.5,4249.235114820126,17.016935184262735,21.724087404748587,1.1666666666666667,52.5,12.594300395743009,1,0,0,0
1,1,1,0,0.5,5142.348708376346,20.527841249060256,28.562242255750466,1.6444444444444446,69.81481481481482,14.421707444913425,1,0,0,0
1,1,1,0,0.5,3855.964985125846,15.594264965364957,17.68013240902669,0.7833333333333334,54.16666666666667,13.328159386613034,1,0,0,0
1,1,1,0,0.5,8948.129344047089,32.58707659814953,27.604561943328523,10.25,87.31884057971014,22.235374016112832,1,0,0,0
1,1,1,0,0.5,6323.875559360632,24.359526829861696,13.321924701796322,2.6666666666666665,69.44444444444444,14.211407055755332,1,0,0,0
1,0,1,0,0.7,4249.235114820126,17.016935184262735,21.724087404748587,1.1666666666666667,52.5,12.594300395743009,0,1,0,0
1,0,1,0,0.7,5142.348708376346,20.527841249060256,28.562242255750466,1.6444444444444446,69.81481481481482,14.421707444913425,0,1,0,0
