ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,ally_tank_count,ally_assassin_count,ally_mage_count,ally_engage_count,ally_cc_count,ally_mobility_count,ally_physical_ratio,ally_magic_ratio,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,hero_is_assassin,hero_is_tank,hero_is_mage,hero_has_engage,hero_has_mobility,hero_has_burst,avg_matchup_win_rate,worst_matchup_win_rate,stage_early,stage_mid,stage_late,counter_label
0,0,1,1,0.4,0,0,1,0,0,1,0.0,1.0,4788.269583052335,17.1405186689969,30.173728484274463,7.333333333333333,53.96825396825397,13.152241609884411,0,1,0,1,0,0,0.0,0.0,1,0,0,1
0,0,1,1,0.4,0,0,1,0,0,1,0.0,1.0,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378,0,0,1,0,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.4,0,0,1,0,0,1,0.0,1.0,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007,0,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.4,0,0,1,0,0,1,0.0,1.0,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797985,0,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.4,0,0,1,0,0,1,0.0,1.0,7965.048884761611,29.30212837520501,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964,0,0,0,0,0,0,0.5,0.5,1,0,0,1
1,1,1,1,0.4,0,0,1,0,0,1,0.5,0.5,4788.269583052335,17.1405186689969,30.173728484274463,7.333333333333333,53.96825396825397,13.152241609884411,0,1,0,1,0,0,0.25,0.0,1,0,0,1
1,1,1,1,0.4,0,0,1,0,0,1,0.5,0.5,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378,0,0,1,0,0,0,0.5,0.5,1,0,0,1
1,1,1,1,0.4,0,0,1,0,0,1,0.5,0.5,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007,0,0,0,1,0,0,0.5,0.5,1,0,0,1
1,1,1,1,0.4,0,0,1,0,0,1,0.5,0.5,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797985,0,0,0,1,0,0,0.5,0.5,1,0,0,1
1,1,1,1,0.4,0,0,1,0,0,1,0.5,0.5,7965.048884761611,29.30212837520501,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964,0,0,0,0,0,0,0.5,0.5,1,0,0,1
